ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'07171,"('Logan_pass_parking',)",2160.0,2023-07-12 16:39:13,2023-07-12 17:15:13,36.0
'07181,"('Hidden_lake_overlook', 'Logan_pass_parking')",3990.0,2023-07-12 16:51:36,2023-07-12 17:59:51,68.25
'07211,"('Logan_pass_parking', 'Loop_highline_grinnell_glac')",2940.0,2023-07-12 17:41:02,2023-07-12 18:44:32,63.5
'07231,"('Logan_pass_parking',)",420.0,2023-07-12 19:43:19,2023-07-12 19:50:19,7.0
'07351,"('Logan_pass_parking',)",1470.0,2023-07-12 17:11:38,2023-07-12 17:36:08,24.5
'08231,"('Shuttle_Logan_pass',)",255.0,2023-07-14 17:13:38,2023-07-14 17:17:53,4.25
'09041,"('Logan_pass_parking',)",8565.0,2023-07-16 13:08:32,2023-07-16 15:31:17,142.75
'09081,"('Logan_pass_parking',)",180.0,2023-07-16 08:46:44,2023-07-16 08:49:44,3.0
'09161,"('Logan_pass_parking',)",2595.0,2023-07-16 14:04:19,2023-07-16 16:52:04,167.75
'09381,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",6615.0,2023-07-16 09:55:59,2023-07-16 12:24:14,148.25
'10081,"('Logan_pass_parking',)",1665.0,2023-07-18 19:25:08,2023-07-18 19:52:53,27.75
'10391,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')",6300.0,2023-07-18 18:38:05,2023-07-18 20:26:35,108.5
'10471,"('Logan_pass_VC', 'Logan_pass_parking', 'Oberlin_climbing')",10110.0,2023-07-18 18:42:24,2023-07-18 21:41:09,178.75
'11331,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",12256.0,2023-07-20 11:36:53,2023-07-20 15:03:23,206.5
