Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Avalanche', 'LakeMcDonald', 'Apgar')","[""'09151"", ""'09341"", ""'19521"", ""'21501""]",4,"[12390.0, 18901.0, 5795.0, 10785.0]","['2023-07-16 10:33:50', '2023-07-16 10:03:33', '2023-08-01 11:05:05', '2023-08-03 10:08:10']","['2023-07-16 14:39:50', '2023-07-16 16:20:48', '2023-08-01 15:20:55', '2023-08-03 16:13:15']","[246.0, 377.25, 255.83333333333334, 365.0833333333333]"
"('SunPoint', 'Logan')","[""'09161""]",1,[7140.0],['2023-07-16 08:55:04'],['2023-07-16 16:52:04'],[477.0]
"('RisingSun', 'Waterfalls', 'RisingSun', 'Waterfalls', 'RisingSun')","[""'09281""]",1,[5190.0],['2023-07-16 08:03:37'],['2023-07-16 11:49:37'],[226.0]
"('RisingSun',)","[""'09331"", ""'17231""]",2,"[2550.0, 3420.0]","['2023-07-16 08:11:06', '2023-07-31 17:23:07']","['2023-07-16 08:53:36', '2023-07-31 18:20:52']","[42.5, 57.75]"
"('SunPoint', 'Waterfalls', 'Logan', 'LakeMcDonald', 'Apgar')","[""'09381""]",1,[18676.0],['2023-07-16 07:56:59'],['2023-07-16 16:25:44'],[508.75]
"('Avalanche', 'LakeMcDonald', 'Apgar', 'LakeMcDonald')","[""'09421""]",1,[53874.0],['2023-07-16 10:41:40'],['2023-07-17 03:28:52'],[1007.2]
"('SunPoint', 'Avalanche', 'LakeMcDonald')","[""'09471""]",1,[510.0],['2023-07-16 09:41:50'],['2023-07-16 11:54:50'],[133.0]
"('Loop', 'Avalanche', 'Apgar')","[""'09501""]",1,[11521.0],['2023-07-16 10:06:47'],['2023-07-16 15:25:56'],[319.15]
"('RisingSun', 'StMary')","[""'10091"", ""'10241"", ""'20021""]",3,"[750.0, 750.0, 48631.0]","['2023-07-16 09:41:39', '2023-07-16 09:41:41', '2023-08-02 11:07:48']","['2023-07-16 10:03:39', '2023-07-16 10:03:41', '2023-08-03 00:55:48']","[22.0, 22.0, 828.0]"
"('LakeMcDonald', 'Avalanche', 'Logan', 'Avalanche', 'LakeMcDonald', 'Apgar')","[""'11411"", ""'19021"", ""'19331"", ""'21231"", ""'21381""]",5,"[29406.0, 37966.0, 34296.0, 24159.0, 16936.0]","['2023-07-20 10:56:22', '2023-08-01 08:48:59', '2023-08-01 10:56:33', '2023-08-03 08:59:05', '2023-08-03 09:24:40']","['2023-07-21 03:19:18', '2023-08-01 21:50:29', '2023-08-02 02:15:59', '2023-08-03 23:54:42', '2023-08-03 23:53:55']","[982.9333333333333, 781.5, 919.4333333333333, 895.6166666666667, 869.25]"
"('Logan', 'Waterfalls', 'StMary')","[""'12011"", ""'12501"", ""'17081""]",3,"[24181.0, 24615.0, 39090.0]","['2023-07-21 09:27:09', '2023-07-21 09:02:42', '2023-07-31 16:27:00']","['2023-07-21 17:17:54', '2023-07-21 17:58:42', '2023-08-01 04:08:30']","[470.75, 536.0, 701.5]"
"('StMary', 'RisingSun', 'Logan', 'Avalanche', 'Logan', 'StMary')","[""'12151""]",1,[25093.0],['2023-07-21 09:48:51'],['2023-07-21 22:49:49'],[780.9666666666667]
"('RisingSun', 'Logan', 'Avalanche', 'Logan')","[""'12161""]",1,[7785.0],['2023-07-21 10:39:05'],['2023-07-21 14:52:20'],[253.25]
"('RisingSun', 'Logan', 'StMary')","[""'12301""]",1,[44854.0],['2023-07-21 11:06:43'],['2023-07-22 01:02:16'],[835.55]
"('RisingSun', 'SunPoint', 'Waterfalls', 'SunPoint', 'RisingSun', 'StMary')","[""'12401""]",1,[11251.0],['2023-07-21 09:27:59'],['2023-07-22 03:15:37'],[1067.6333333333334]
