id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12,location_13,enter_time_13,exit_time_13,duration_13,location_14,enter_time_14,exit_time_14,duration_14,location_15,enter_time_15,exit_time_15,duration_15,location_16,enter_time_16,exit_time_16,duration_16,location_17,enter_time_17,exit_time_17,duration_17,location_18,enter_time_18,exit_time_18,duration_18,location_19,enter_time_19,exit_time_19,duration_19,location_20,enter_time_20,exit_time_20,duration_20,location_21,enter_time_21,exit_time_21,duration_21,location_22,enter_time_22,exit_time_22,duration_22,location_23,enter_time_23,exit_time_23,duration_23
'06461,Apgar_village,2023-07-11 10:18:18,2023-07-11 10:20:48,150.0,Apgar_VC_parking,2023-07-11 10:23:03,2023-07-11 10:56:48,2025.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06511,Apgar_VC_parking,2023-07-12 21:02:59,2023-07-12 21:08:14,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06521,Apgar_VC_parking,2023-07-11 10:27:22,2023-07-11 10:29:37,135.0,Apgar_VC,2023-07-11 10:29:52,2023-07-11 10:37:37,465.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06531,Apgar_VC_parking,2023-07-11 12:57:32,2023-07-11 17:24:32,16020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06541,Apgar_VC_parking,2023-07-11 15:00:06,2023-07-11 15:03:21,195.0,Apgar_VC,2023-07-11 15:03:36,2023-07-11 18:25:02,12086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07121,Apgar_VC,2023-07-12 20:54:56,2023-07-13 04:31:03,18939.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07131,Apgar_VC,2023-07-12 18:03:59,2023-07-12 18:54:30,3031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07161,Apgar_VC_parking,2023-07-12 18:30:52,2023-07-12 18:38:37,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07221,Apgar_VC_parking,2023-07-12 18:00:26,2023-07-12 18:03:26,180.0,Apgar_VC,2023-07-12 18:20:34,2023-07-12 18:56:23,2149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07251,Apgar_campground,2023-07-12 18:53:02,2023-07-13 11:25:17,59535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
