Unique_Locations,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Rising_sun_boat_dock', 'Shuttle_Rising_Sun', 'Shuttle_St_mary_falls', 'StMary_falls_trail', 'Sun_point_parking', 'Viriginia_falls_trail')","[""'03411""]",1,[5444.0],['2023-07-06 12:58:01'],['2023-07-06 15:17:16'],[139.25]
"('Hidden_lake_overlook', 'Logan_pass_VC', 'Rising_sun_boat_dock', 'Shuttle_Logan_pass', 'Shuttle_St_mary_falls', 'StMary_falls_trail', 'Sun_point_parking', 'Viriginia_falls_trail')","[""'03471""]",1,[14781.0],['2023-07-06 13:12:22'],['2023-07-06 18:21:28'],[309.1]
"('Apgar_VC_parking', 'Hidden_lake_overlook', 'Logan_pass_parking', 'Loop_parking', 'Red_rock')","[""'0355""]",1,[3533.0],['2023-07-12 17:44:46'],['2023-07-12 20:35:09'],[170.38333333333333]
"('Hidden_lake_overlook', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Rising_sun_boat_dock', 'Shuttle_Logan_pass', 'Sun_point_parking')","[""'03551""]",1,[11910.0],['2023-07-06 11:28:16'],['2023-07-06 16:41:46'],[313.5]
"('Avalanche_parking', 'Hidden_lake_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Avalanche', 'Shuttle_Logan_pass', 'Shuttle_Loop')","[""'04051""]",1,[8025.0],['2023-07-07 15:39:45'],['2023-07-07 19:33:15'],[233.5]
"('Apgar_VC_parking', 'Big_bend', 'Sun_point_parking')","[""'05011""]",1,[1620.0],['2023-07-10 09:07:28'],['2023-07-10 12:07:02'],[179.56666666666666]
"('Big_bend', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Moose_country')","[""'05071""]",1,[18375.0],['2023-07-10 11:01:59'],['2023-07-10 18:40:29'],[458.5]
"('Apgar_VC', 'Logan_pass_parking', 'Many_glacier_trail', 'Red_rock')","[""'05081""]",1,[12255.0],['2023-07-10 10:24:08'],['2023-07-10 18:54:19'],[510.18333333333334]
"('Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Loop_parking', 'Trail_of_Cedars')","[""'05091""]",1,[2864.0],['2023-07-10 09:05:40'],['2023-07-10 12:45:40'],[220.0]
"('Apgar_VC_parking', 'Big_bend', 'Hidden_lake_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Moose_country', 'Red_rock')","[""'05121""]",1,[14483.0],['2023-07-10 08:38:05'],['2023-07-10 16:44:58'],[486.8833333333333]
"('Apgar_VC_parking', 'Avalanche_parking', 'Baring_falls_parking', 'Baring_falls_trail', 'Loop_parking', 'StMary_falls_trail', 'St_mary_VC_parking', 'St_mary_falls_parking', 'Sun_point_parking', 'Viriginia_falls_trail')","[""'05131""]",1,[9975.0],['2023-07-10 07:58:20'],['2023-07-10 17:05:50'],[547.5]
"('Apgar_village', 'Avalanche_parking', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Loop_parking', 'Moose_country', 'Shuttle_Avalanche', 'Trail_of_Cedars')","[""'05141""]",1,[10881.0],['2023-07-10 09:48:07'],['2023-07-10 17:06:28'],[438.35]
"('Apgar_VC_parking', 'Apgar_campground', 'Apgar_village', 'Big_bend', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Moose_country')","[""'05171""]",1,[12570.0],['2023-07-10 09:12:38'],['2023-07-10 16:03:23'],[410.75]
"('Apgar_village', 'Big_bend', 'Logan_pass_VC', 'Logan_pass_parking')","[""'05221"", ""'25391""]",2,"[5178.0, 4395.0]","['2023-07-11 11:49:01', '2023-08-08 12:36:03']","['2023-07-11 15:12:46', '2023-08-08 17:28:48']","[203.75, 292.75]"
"('Apgar_VC_parking', 'Logan_pass_parking', 'Loop_parking', 'Many_glacier_trail', 'Moose_country', 'Oberlin_bend')","[""'05231""]",1,[16500.0],['2023-07-10 08:22:37'],['2023-07-10 15:50:07'],[447.5]
"('Gunsight_pass_trailhead', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Oberlin_bend', 'St_mary_falls_parking', 'Viriginia_falls_trail')","[""'05251""]",1,[12930.0],['2023-07-10 09:31:32'],['2023-07-10 14:31:17'],[299.75]
"('Logan_pass_parking', 'Lunch_creek', 'Rising_sun_boat_dock', 'Siyeh_bend_parking', 'Siyeh_bend_trail')","[""'05261""]",1,[13261.0],['2023-07-10 09:36:29'],['2023-07-10 15:23:59'],[347.5]
"('Avalanche_parking', 'Lake_macdonald_lodge', 'Loop_highline_grinnell_glac', 'Loop_parking', 'Shuttle_Lake_macdonald')","[""'05291""]",1,[30690.0],['2023-07-10 08:18:48'],['2023-07-10 17:03:48'],[525.0]
