ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'24041,"('Apgar_VC', 'Apgar_VC_parking')",6255.0,2023-08-07 08:04:27,2023-08-07 13:50:42,346.25
'24321,"('Apgar_VC',)",21523.0,2023-08-07 16:49:35,2023-08-07 22:48:18,358.71666666666664
'24541,"('Apgar_VC', 'Apgar_VC_parking')",2595.0,2023-08-07 17:25:04,2023-08-07 20:44:48,199.73333333333332
'25071,"('Apgar_village',)",5219.0,2023-08-08 14:11:54,2023-08-08 15:38:53,86.98333333333333
'25161,"('Apgar_VC_parking', 'Apgar_village')",1665.0,2023-08-08 12:26:19,2023-08-08 13:02:19,36.0
'25171,"('Apgar_VC', 'Apgar_VC_parking')",10800.0,2023-08-08 10:02:01,2023-08-08 22:33:58,751.95
'25201,"('Apgar_VC', 'Apgar_VC_parking')",930.0,2023-08-08 10:35:59,2023-08-08 10:51:44,15.75
'25281,"('Apgar_VC_parking',)",180.0,2023-08-08 20:45:47,2023-08-08 20:48:47,3.0
'25291,"('Apgar_VC_parking', 'Apgar_village', 'Rocky_point_trail')",8343.0,2023-08-08 11:19:38,2023-08-08 15:11:11,231.55
'25311,"('Apgar_VC_parking',)",570.0,2023-08-08 11:32:38,2023-08-08 11:44:23,11.75
'25321,"('Apgar_campground', 'Apgar_village')",645.0,2023-08-08 10:50:21,2023-08-08 11:06:21,16.0
'25391,"('Apgar_village',)",945.0,2023-08-08 12:36:03,2023-08-08 17:28:48,292.75
'25431,"('Apgar_VC_parking',)",390.0,2023-08-08 12:32:49,2023-08-08 12:55:04,22.25
