Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Logan_pass_parking', 'Many_glacier_trail', 'Red_rock', 'Apgar_VC')","[""'05081""]",1,[12255.0],['2023-07-10 10:24:08'],['2023-07-10 18:54:19'],[510.18333333333334]
"('Trail_of_Cedars', 'Loop_parking', 'Loop_highline_grinnell_glac', 'Loop_parking', 'Logan_pass_parking')","[""'05091""]",1,[2864.0],['2023-07-10 09:05:40'],['2023-07-10 12:45:40'],[220.0]
"('Apgar_VC_parking', 'Lake_macdonald_lodge', 'Moose_country', 'Red_rock', 'Big_bend', 'Logan_pass_parking', 'Logan_pass_VC', 'Hidden_lake_overlook', 'Logan_pass_parking')","[""'05121""]",1,[14483.0],['2023-07-10 08:38:05'],['2023-07-10 16:44:58'],[486.8833333333333]
"('Avalanche_parking', 'Loop_parking', 'St_mary_VC_parking', 'St_mary_falls_parking', 'Baring_falls_parking', 'Baring_falls_trail', 'StMary_falls_trail', 'Viriginia_falls_trail', 'Baring_falls_trail', 'Baring_falls_parking', 'Sun_point_parking', 'Apgar_VC_parking')","[""'05131""]",1,[9975.0],['2023-07-10 07:58:20'],['2023-07-10 17:05:50'],[547.5]
"('Lake_macdonald_lodge', 'Moose_country', 'Trail_of_Cedars', 'Avalanche_parking', 'Shuttle_Avalanche', 'Loop_parking', 'Logan_pass_parking', 'Apgar_village')","[""'05141""]",1,[10881.0],['2023-07-10 09:48:07'],['2023-07-10 17:06:28'],[438.35]
"('Apgar_VC_parking', 'Apgar_village', 'Moose_country', 'Logan_pass_parking', 'Big_bend', 'Lake_macdonald_lodge', 'Apgar_VC_parking', 'Apgar_campground')","[""'05171""]",1,[12570.0],['2023-07-10 09:12:38'],['2023-07-10 16:03:23'],[410.75]
"('Logan_pass_parking', 'Logan_pass_VC', 'Logan_pass_parking', 'Big_bend', 'Apgar_village')","[""'05221""]",1,[5178.0],['2023-07-11 11:49:01'],['2023-07-11 15:12:46'],[203.75]
"('Apgar_VC_parking', 'Moose_country', 'Loop_parking', 'Oberlin_bend', 'Logan_pass_parking', 'Many_glacier_trail')","[""'05231""]",1,[16500.0],['2023-07-10 08:22:37'],['2023-07-10 15:50:07'],[447.5]
"('Logan_pass_parking', 'Oberlin_bend', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Loop_highline_grinnell_glac', 'Gunsight_pass_trailhead', 'St_mary_falls_parking', 'Viriginia_falls_trail')","[""'05251""]",1,[12930.0],['2023-07-10 09:31:32'],['2023-07-10 14:31:17'],[299.75]
"('Logan_pass_parking', 'Lunch_creek', 'Siyeh_bend_trail', 'Siyeh_bend_parking', 'Rising_sun_boat_dock')","[""'05261""]",1,[13261.0],['2023-07-10 09:36:29'],['2023-07-10 15:23:59'],[347.5]
